# OpenNGC (https://github.com/mattiaverga/OpenNGC), CC-BY-SA-4.0
# id	common	type	ra_hours	dec_deg	mag	size_arcmin	alias
NGC 291		GX	0.891644	-8.767806	14.64	0.98	
NGC 2910		OC	9.508061	-52.914	7.2	4.8	
NGC 2911		GX	9.562808	10.152444	13.18	3.46	
NGC 2912		STAR	9.5658	10.192222	99.0	0.0	
NGC 2913		GX	9.567422	9.479194	14.14	1.12	
NGC 2914		GX	9.567439	10.108583	13.12	0.95	
NGC 2915		GX	9.436536	-76.626333	12.61	1.82	
NGC 2916		GX	9.582667	21.705278	12.08	2.4	
NGC 2917		GX	9.574139	-2.504167	14.36	1.34	
NGC 2918		GX	9.595567	31.705472	13.52	1.56	
NGC 2919		GX	9.579867	10.283722	13.6	1.52	
NGC 292	Small Magellanic Cloud	GX	0.879106	-72.828611	2.3	299.92	
NGC 2920		GX	9.570069	-20.859056	13.94	0.86	
NGC 2921		GX	9.575444	-20.920361	12.96	2.86	
NGC 2922		GX	9.614575	37.694889	13.64	1.07	
NGC 2923		GX	9.601064	16.760389	15.64	0.53	
NGC 2924		GX	9.586336	-16.398389	13.36	2.04	
NGC 2925		OC	9.553033	-53.395972	8.3	7.5	
NGC 2926		GX	9.625281	32.841417	14.44	0.83	
NGC 2927		GX	9.620889	23.590611	13.96	1.31	
NGC 2928		GX	9.619467	16.977194	14.88	1.21	
NGC 2929		GX	9.624947	23.161667	14.48	1.1	
NGC 293		GX	0.904433	-7.235472	15.05	1.12	
NGC 2930		GX	9.625722	23.2025	14.92	0.5	
NGC 2931		GX	9.627125	23.24075	14.84	0.75	
NGC 2932		STAR	9.597672	-46.9245	99.0	4.8	
NGC 2933		GX	9.631944	17.014722	15.02	0.97	
NGC 2934		GX	9.631989	17.0545	17.08	0.44	
NGC 2935		GX	9.612458	-21.128139	11.19	4.21	
NGC 2936		GX	9.628931	2.760806	13.08	0.94	
NGC 2937		GX	9.629175	2.747361	13.66	0.75	
NGC 2938		GX	9.639942	76.319556	14.33	1.24	
NGC 2939		GX	9.635575	9.521528	13.56	2.12	
NGC 294		OC	0.884642	-73.380361	12.24	1.7	
NGC 2940		GX	9.634775	9.616722	14.77	0.97	
NGC 2941		GX	9.640058	17.044444	15.08	0.7	
NGC 2942		GX	9.652211	34.006333	12.89	1.67	
NGC 2943		GX	9.642464	17.031306	13.75	2.16	
NGC 2944		GX	9.655056	32.308333	99.0	1.0	
NGC 2944 NED01		GX	9.655033	32.310444	14.88	0.91	
NGC 2944 NED02		GX	9.655447	32.306	17.64	0.32	
NGC 2945		GX	9.628092	-22.035056	13.34	1.66	
NGC 2946		GX	9.650439	17.025333	14.79	1.1	
NGC 2947		GX	9.601608	-12.436722	12.76	1.63	
NGC 2948		GX	9.649775	6.955444	13.75	1.43	
NGC 2949		GX	9.665625	16.787444	15.5	0.42	
NGC 295		GX	0.9923	31.798056	14.98	0.59	
NGC 2950		GX	9.709764	58.851278	11.03	2.62	
NGC 2951		GX	9.661222	-0.235278	15.1	1.34	
NGC 2952		GX	9.626942	-10.183389	15.11	0.8	
NGC 2953		OTHER	9.671956	14.832694	99.0	0.0	
NGC 2954		GX	9.673353	14.922639	12.39	1.43	
NGC 2955		GX	9.68795	35.882278	12.89	1.59	
NGC 2956		GX	9.654736	-19.101083	15.3	0.86	
NGC 2957		GX	9.788028	72.985	99.0	1.0	
NGC 2957 NED01		GX	9.787714	72.986056	16.0	0.91	
NGC 2957A		GX	9.788333	72.984083	15.35	0.77	
NGC 2958		GX	9.678228	11.888417	13.96	0.98	
NGC 2959		GX	9.752492	68.594583	12.69	1.38	
NGC 296		GX	0.918753	31.542278	12.29	2.23	
NGC 2960		GX	9.676772	3.577	15.0	1.11	
NGC 2961		GX	9.756242	68.608278	14.7	0.86	
NGC 2962		GX	9.681647	5.165806	11.88	2.31	
NGC 2963		GX	9.797339	72.964389	14.24	1.18	
NGC 2964		GX	9.715064	31.847389	11.37	2.92	
NGC 2965		GX	9.721986	36.247806	14.7	1.3	
NGC 2966		GX	9.703189	4.673139	14.23	2.12	
NGC 2967		GX	9.700914	0.336444	11.61	2.14	
NGC 2968		GX	9.720003	31.928694	11.73	2.48	
NGC 2969		GX	9.698472	-8.603	13.73	1.32	
NGC 297		GX	0.916372	-7.349667	16.88	0.35	
NGC 2970		GX	9.725297	31.976972	13.64	0.85	
NGC 2971		GX	9.729478	36.179361	14.83	1.13	
NGC 2972		OC	9.669867	-50.320944	9.9	3.6	
NGC 2973		OTHER	9.692986	-30.048389	99.0	0.0	
NGC 2974		GX	9.709244	-3.699139	10.89	3.48	
NGC 2975		GX	9.687797	-16.674389	15.79	0.84	
NGC 2976		GX	9.787628	67.916389	10.16	5.77	
NGC 2977		GX	9.729525	74.860222	13.27	2.08	
NGC 2978		GX	9.721333	-9.745889	13.97	1.07	
NGC 2979		GX	9.719069	-10.38325	14.0	2.06	
NGC 298		GX	0.917319	-7.333083	16.52	1.47	
NGC 2980		GX	9.719992	-9.612389	12.99	1.79	
NGC 2981		GX	9.749047	31.097833	14.82	1.06	
NGC 2982		OC	9.700022	-44.027139	99.0	4.2	
NGC 2983		GX	9.728083	-20.477194	11.87	2.37	
NGC 2984		GX	9.727883	11.060861	14.3	0.85	
NGC 2985		GX	9.839508	72.278639	10.51	3.61	
NGC 2986		GX	9.737789	-21.278	10.64	4.81	
NGC 2987		GX	9.761519	4.941833	13.93	1.31	
NGC 2988		GX	9.779992	22.012139	15.28	0.91	
NGC 2989		GX	9.757006	-18.373917	13.37	1.69	
NGC 299		OC	0.890019	-72.197111	11.73	0.9	
NGC 2990		GX	9.771433	5.708806	12.76	0.93	
NGC 2991		GX	9.780589	22.013944	12.64	0.99	
NGC 2992		GX	9.761681	-14.326389	13.1	2.92	
NGC 2993		GX	9.763425	-14.368306	12.64	1.36	
NGC 2994		GX	9.787808	22.0895	13.08	0.95	
NGC 2995		STAR	9.733081	-54.596944	99.0	0.0	
NGC 2996		GX	9.77505	-21.571611	13.66	1.36	
NGC 2997		GX	9.760775	-31.191083	9.41	10.26	
NGC 2998		GX	9.812119	44.081444	12.54	2.44	
NGC 3		GX	0.121333	8.301639	13.4	1.02	
NGC 30		STAR	0.180775	21.976972	99.0	0.0	
NGC 300		GX	0.914856	-37.684389	8.66	19.41	
NGC 3000		STAR	9.814244	44.130278	99.0	0.0	
NGC 3001		GX	9.77185	-30.437472	11.57	3.02	
NGC 3002		STAR	9.81595	44.057222	99.0	0.0	
NGC 3003		GX	9.810014	33.4215	11.78	4.74	
NGC 3004		STAR	9.817347	44.111028	99.0	0.0	
NGC 3005		GX	9.820797	44.131306	14.94	1.14	
NGC 3006		GX	9.821483	44.025806	15.57	0.82	
NGC 3007		GX	9.796006	-6.438167	14.41	1.61	
NGC 3008		GX	9.826183	44.102694	15.23	0.75	
NGC 3009		GX	9.836425	44.295056	14.31	0.77	
NGC 301		GX	0.938431	-10.673889	15.62	0.64	
NGC 3010		GX	9.842542	44.314389	16.23	0.98	
NGC 3010A		GX	9.842936	44.323417	14.87	0.39	
NGC 3010C		GX	9.844275	44.330972	15.59	0.68	
NGC 3011		GX	9.828111	32.221111	14.35	0.82	
NGC 3012		GX	9.831142	34.714111	14.7	1.24	
NGC 3013		GX	9.835933	33.569333	15.57	0.81	
NGC 3014		GX	9.818792	-4.742944	14.76	0.93	
NGC 3015		GX	9.823033	1.145417	14.27	0.53	
NGC 3016		GX	9.830739	12.695222	13.7	1.12	
NGC 3017		GX	9.817511	-2.821806	14.41	1.02	
NGC 3018		GX	9.828181	0.62125	13.88	1.17	
NGC 3019		GX	9.835336	12.746139	15.11	0.76	
NGC 302		STAR	0.940364	-10.663222	99.0	0.0	
NGC 3020		GX	9.835167	12.813639	13.28	2.34	
NGC 3021		GX	9.849208	33.553639	12.42	1.36	
NGC 3022		GX	9.827569	-5.166583	14.46	1.7	
NGC 3023		GX	9.831275	0.618167	12.7	1.82	
NGC 3024		GX	9.840942	12.7655	13.8	1.71	
NGC 3025		GX	9.824739	-21.74225	13.95	1.59	
NGC 3026		GX	9.848714	28.551111	13.78	2.22	
NGC 3027		GX	9.927944	72.203556	11.76	3.35	
NGC 3028		GX	9.831733	-19.184167	13.56	1.08	
NGC 3029		GX	9.815006	-8.050944	14.01	1.35	
NGC 303		GX	0.915197	-16.654611	15.35	0.73	
NGC 3030		GX	9.836256	-12.226417	14.41	1.24	
NGC 3032		GX	9.868931	29.236222	13.09	1.43	
NGC 3033		OC	9.809733	-56.430056	8.8	4.8	
NGC 3035		GX	9.865286	-6.822917	13.5	1.47	
NGC 3036		OC	9.821081	-62.675583	99.0	4.8	
NGC 3037		GX	9.856672	-27.011111	13.72	1.29	
NGC 3038		GX	9.854292	-32.752556	11.69	2.8	
NGC 3039		GX	9.874908	2.154444	14.25	1.32	
NGC 304		GX	0.935006	24.126889	12.67	1.17	
NGC 3040		GX	9.884528	19.437222	99.0	1.8	
NGC 3040 NED01		GX	9.884294	19.442583	15.64	0.87	
NGC 3040 NED02		GX	9.88475	19.432167	14.36	1.51	
NGC 3041		GX	9.885317	16.677667	11.55	3.22	
NGC 3042		GX	9.88895	0.697694	13.97	1.02	
NGC 3043		GX	9.937458	59.307111	13.38	1.66	
NGC 3044		GX	9.894689	1.579639	11.94	4.2	
NGC 3045		GX	9.888239	-18.645111	13.77	1.43	
NGC 3047		GX	9.908528	-1.289722	99.0	1.2	
NGC 3047A		GX	9.908906	-1.290917	14.54	0.6	
NGC 3047B		GX	9.908192	-1.288056	14.89	0.59	
NGC 3048		GX	9.915889	16.457778	99.0	1.0	
NGC 3048 NED01		GX	9.915681	16.456278	15.45	0.71	
NGC 3048 NED02		GX	9.916122	16.459583	16.73	0.41	
NGC 3049		GX	9.913767	9.271083	13.53	2.11	
NGC 305		OTHER	0.939144	12.065111	99.0	0.0	
NGC 3051		GX	9.899622	-27.286333	15.0	2.2	
NGC 3052		GX	9.907758	-18.638889	12.36	2.15	
NGC 3053		GX	9.926003	16.432861	13.64	1.59	
NGC 3054		GX	9.907944	-25.703444	11.48	3.56	
NGC 3055		GX	9.921683	4.270028	12.06	1.96	
NGC 3056		GX	9.909133	-28.298194	11.7	2.26	
NGC 3057		GX	10.094267	80.285694	13.09	1.45	
NGC 3058		GX	9.893264	-12.481556	99.0	1.4	
NGC 3058 NED01		GX	9.893097	-12.479083	99.0	0.62	
NGC 3058 NED02		GX	9.893381	-12.482111	14.55	1.26	
NGC 3059		GX	9.8356	-73.922194	11.3	3.8	
NGC 306		OC	0.903939	-72.242333	12.07	1.1	
NGC 3060		GX	9.938667	16.831222	13.75	2.02	
NGC 3061		GX	9.936669	75.8665	13.48	1.58	
NGC 3062		GX	9.943275	1.428556	15.17	0.83	
NGC 3063		STAR	10.028269	72.117833	99.0	0.0	
NGC 3064		GX	9.928181	-6.363917	14.98	1.15	
NGC 3065		GX	10.032006	72.170333	13.12	1.87	
NGC 3066		GX	10.036408	72.125389	12.89	1.12	
NGC 3067		GX	9.972522	32.369889	12.13	2.06	
NGC 3068		GX	9.977806	28.877556	14.05	0.87	
NGC 3069		GX	9.96575	10.432444	15.02	0.86	
NGC 307		GX	0.942383	-1.771944	12.79	1.61	
NGC 3070		GX	9.968597	10.359778	12.29	1.55	
NGC 3071		GX	9.981386	31.620306	15.35	0.66	
NGC 3072		GX	9.956636	-19.354972	13.83	1.82	
NGC 3073		GX	10.014467	55.618833	13.43	1.2	
NGC 3074		GX	9.994781	35.392806	12.83	1.96	
NGC 3075		GX	9.982278	14.420472	14.42	1.5	
NGC 3076		GX	9.96045	-18.178694	14.11	0.87	
NGC 3077		GX	10.055297	68.733917	9.88	5.21	
NGC 3078		GX	9.973503	-26.926667	11.16	3.04	
NGC 3079		GX	10.032722	55.679778	10.71	8.18	
NGC 308		STAR	0.942839	-1.783917	99.0	0.0	
NGC 3080		GX	9.998844	13.043833	15.01	0.8	
NGC 3081		GX	9.991539	-22.826278	12.9	2.67	
NGC 3082		GX	9.981408	-30.357694	13.59	2.14	
NGC 3083		GX	9.997131	-2.877472	14.34	0.99	
NGC 3084		GX	9.985117	-27.128806	13.2	1.66	
NGC 3085		GX	9.991439	-19.492278	12.92	1.24	
NGC 3086		GX	10.003053	-2.976167	14.66	1.16	
NGC 3087		GX	9.985739	-34.225222	11.43	2.28	
NGC 3088		GX	10.019194	22.403611	99.0	2.0	
NGC 3088A		GX	10.018664	22.403167	14.4	1.35	
NGC 3088B		GX	10.019361	22.402306	15.95	0.93	
NGC 3089		GX	9.993522	-28.331361	13.23	1.95	
NGC 309		GX	0.945183	-9.913861	12.17	2.23	
NGC 3090		GX	10.008397	-2.969	12.58	1.63	
NGC 3091		GX	10.003969	-19.636972	11.0	3.69	
NGC 3092		GX	10.013175	-3.012389	14.7	1.3	
NGC 3093		GX	10.014886	-2.972	15.35	0.77	
NGC 3094		GX	10.023872	15.770083	13.43	1.34	
NGC 3095		GX	10.001619	-31.552861	11.63	3.61	
NGC 3096		GX	10.009197	-19.661972	13.09	1.17	
NGC 3097		OTHER	10.071131	60.125778	99.0	0.0	
NGC 3098		GX	10.037969	24.711083	11.96	2.33	
NGC 3099		GX	10.043486	32.706722	15.22	1.15	
NGC 31		GX	0.177331	-56.9865	14.58	1.17	
NGC 310		STAR	0.946661	-1.765778	99.0	0.0	
NGC 3100		GX	10.011344	-31.664528	11.37	3.56	
NGC 3101		GX	10.026508	-2.994417	15.37	1.22	
NGC 3102		GX	10.075489	60.107972	14.23	0.98	
NGC 3104		GX	10.065931	40.756917	12.78	2.99	
NGC 3105		OC	10.010978	-54.787694	9.7	4.08	
NGC 3106		GX	10.068125	31.185472	12.42	0.89	
NGC 3107		GX	10.072908	13.621333	13.57	0.77	
NGC 3108		GX	10.041397	-31.677417	11.47	2.54	
NGC 3109		GX	10.051911	-26.159583	10.54	16.0	
NGC 311		GX	0.959092	30.28075	13.0	1.36	
NGC 3110		GX	10.067253	-6.474778	13.0	1.87	
NGC 3111		GX	10.102067	47.262639	14.12	1.42	
NGC 3112		GX	10.066439	-20.781806	15.99	1.1	
NGC 3113		GX	10.073919	-28.444028	13.34	3.43	
NGC 3114		OC	10.041547	-60.130528	4.2	12.3	
NGC 3115	Spindle Galaxy	GX	10.087217	-7.718583	9.09	7.1	
NGC 3116		GX	10.112514	31.097722	15.23	0.7	
NGC 3117		GX	10.102917	2.912861	14.52	0.96	
NGC 3118		GX	10.119872	33.027389	14.31	2.08	
NGC 3119		GX	10.114408	14.373528	14.14	1.05	
NGC 312		GX	0.937758	-52.782694	12.39	1.84	
NGC 3120		GX	10.089733	-34.219944	12.77	1.68	
NGC 3123		OTHER	10.117181	0.067139	99.0	0.0	
NGC 3124		GX	10.111083	-19.221583	12.15	2.7	
NGC 3125		GX	10.109269	-29.934861	12.87	1.21	
NGC 3126		GX	10.139072	31.862694	13.53	3.1	
NGC 3127		GX	10.106903	-16.126083	14.81	1.62	
NGC 3128		GX	10.100381	-16.122028	14.11	1.54	
NGC 3129		STAR	10.138683	18.430639	99.0	0.0	
NGC 313		OTHER	0.962678	30.366083	99.0	0.0	
NGC 3130		GX	10.136761	9.977	14.28	1.07	
NGC 3131		GX	10.143447	18.231222	13.88	2.16	
NGC 3132	Eight-Burst Nebula	PN	10.117147	-40.436583	9.2	0.5	
NGC 3133		GX	10.120225	-11.965306	15.73	0.68	
NGC 3134		GX	10.208136	12.37725	14.74	1.49	
NGC 3135		GX	10.181772	45.950361	14.33	1.0	
NGC 3136		GX	10.096711	-67.377972	10.67	4.2	
NGC 3136A		GX	10.05905	-67.448472	15.53	1.6	
NGC 3136B		GX	10.170258	-67.005083	11.79	1.75	
NGC 3137		GX	10.152078	-29.064306	11.57	5.57	
NGC 3138		GX	10.154631	-11.95675	15.58	1.1	
NGC 3139		GX	10.168106	-11.77825	14.62	1.21	
NGC 314		GX	0.947892	-31.962972	14.4	1.0	
NGC 3140		GX	10.157728	-16.628167	14.07	0.96	
NGC 3141		GX	10.155525	-16.653417	16.14	0.76	
NGC 3142		GX	10.168436	-8.47975	14.48	0.86	
NGC 3143		GX	10.167772	-12.581361	14.28	0.82	
NGC 3144		GX	10.258939	74.220278	14.24	1.12	
NGC 3145		GX	10.169408	-12.433778	12.0	2.87	
NGC 3146		GX	10.186075	-20.870694	14.03	1.01	
NGC 3147		GX	10.281569	73.40075	11.94	4.11	
NGC 3148		STAR	10.228842	50.496528	6.63	0.0	
NGC 3149		GX	10.062247	-80.421667	13.49	1.15	
NGC 315		GX	0.963578	30.352444	11.6	2.86	
NGC 3150		GX	10.223978	38.657667	15.27	1.04	
NGC 3151		GX	10.224747	38.619833	14.96	0.93	
NGC 3152		GX	10.226144	38.843194	15.32	0.74	
NGC 3153		GX	10.214028	12.666667	12.84	1.73	
NGC 3154		GX	10.217022	17.034167	14.26	0.83	
NGC 3155		GX	10.294403	74.347389	13.83	1.21	
NGC 3156		GX	10.211458	3.129361	12.3	1.91	
NGC 3157		GX	10.195119	-31.642861	13.91	1.7	
NGC 3158		GX	10.2307	38.764889	11.88	2.32	
NGC 3159		GX	10.231342	38.654472	13.59	0.96	
NGC 316		STAR	0.964569	30.354306	16.8	0.0	
NGC 3160		GX	10.231964	38.842833	15.02	1.25	
NGC 3161		GX	10.233111	38.657139	15.26	0.46	
NGC 3162		GX	10.225442	22.737556	11.72	2.09	
NGC 3163		GX	10.235306	38.652556	13.34	1.14	
NGC 3164		GX	10.253172	56.672083	14.52	0.8	
NGC 3165		GX	10.225361	3.375028	13.87	1.17	
NGC 3166		GX	10.229333	3.424722	10.62	4.5	
NGC 3167		OTHER	10.243303	29.596333	99.0	0.0	
NGC 3168		GX	10.273058	60.234944	14.46	0.91	
NGC 3169		GX	10.237514	3.466083	10.89	4.34	
NGC 317		GX	0.961028	43.796389	99.0	1.83	
NGC 3170		STAR	10.270703	46.612361	99.0	0.0	
NGC 3171		GX	10.260228	-20.647389	14.05	1.87	
NGC 3172	Polarissima Borealis	GX	11.787222	89.093056	15.0	1.14	
NGC 3173		GX	10.243019	-27.692833	13.68	1.9	
NGC 3175		GX	10.245031	-28.872056	11.26	5.25	
NGC 3176		OTHER	10.254872	-19.032556	99.0	0.0	
NGC 3177		GX	10.27615	21.123056	12.37	1.44	
NGC 3178		GX	10.269214	-15.791278	13.68	1.47	
NGC 3179		GX	10.299225	41.114306	14.08	1.86	
NGC 317A		GX	0.960847	43.800778	13.56	1.21	
NGC 317B		GX	0.961236	43.79225	13.94	0.97	
NGC 318		GX	0.968119	30.425528	15.26	0.6	
NGC 3180		EN	10.302686	41.445028	99.0	0.0	
NGC 3181		EN	10.303197	41.412694	15.79	2.84	
NGC 3182		GX	10.325839	58.205722	12.95	1.92	
NGC 3183		GX	10.363611	74.176861	12.67	2.22	
NGC 3184		GX	10.304683	41.424056	9.84	7.4	
NGC 3185		GX	10.294047	21.68825	12.2	2.15	
NGC 3186		GX	10.264831	6.96375	15.04	1.08	
NGC 3187		GX	10.296628	21.873333	13.28	2.24	
NGC 3188		GX	10.328558	57.423472	15.0	0.84	
NGC 3188A		GX	10.3273	57.418583	16.86	0.44	
NGC 3189		GX	10.301564	21.832306	11.05	3.64	
NGC 319		GX	0.949333	-43.838778	14.3	1.0	
NGC 3191		GX	10.318092	46.454111	14.01	0.71	
NGC 3193		GX	10.306917	21.893972	11.02	2.36	
NGC 3195		PN	10.155828	-80.858583	11.6	0.7	
NGC 3196		GX	10.313619	27.668944	16.08	0.46	
NGC 3197		GX	10.241019	77.82025	14.44	1.11	
NGC 3198		GX	10.331931	45.549611	10.38	6.46	
NGC 3199		EN	10.290119	-57.922222	99.0	20.0	
NGC 32		STAR	0.181553	18.796	99.0	0.0	
NGC 320		GX	0.979592	-20.840083	14.62	0.89	
NGC 3200		GX	10.310153	-17.982528	12.1	4.07	
NGC 3201		GC	10.293544	-46.411222	8.24	9.6	
NGC 3202		GX	10.34215	43.021611	14.09	1.27	
NGC 3203		GX	10.326064	-26.698889	12.13	3.16	
NGC 3204		GX	10.336411	27.817056	14.63	1.25	
NGC 3205		GX	10.347214	42.972056	14.31	1.31	
NGC 3206		GX	10.363219	56.930417	13.29	2.3	
NGC 3207		GX	10.350153	42.985306	14.33	1.24	
NGC 3208		GX	10.328136	-25.81475	12.89	1.78	
NGC 3209		GX	10.344006	25.504972	13.85	1.57	
NGC 321		GX	0.960897	-5.086194	15.81	0.45	
NGC 3210		STAR	10.466444	79.832528	99.0	0.0	
NGC 3211		PN	10.297364	-62.670056	10.7	0.27	
NGC 3212		GX	10.471239	79.823389	14.32	0.83	
NGC 3213		GX	10.354819	19.651778	14.21	1.05	
NGC 3214		GX	10.385775	57.039083	15.01	1.08	
NGC 3215		GX	10.477939	79.813083	13.95	0.95	
NGC 3216		GX	10.361453	23.923056	14.46	1.71	
NGC 3217		GX	10.392394	10.959722	15.21	0.53	
NGC 3219		GX	10.377067	38.579167	14.21	1.08	
NGC 322		GX	0.952781	-43.727083	14.33	1.15	
NGC 3220		GX	10.395739	57.026861	13.95	1.18	
NGC 3221		GX	10.372217	21.569583	14.05	1.7	
NGC 3222		GX	10.376253	19.887028	12.79	1.12	
NGC 3223		GX	10.359744	-34.266806	10.96	4.28	
NGC 3224		GX	10.361442	-34.696778	12.21	1.72	
NGC 3225		GX	10.419417	58.15	13.66	1.65	
NGC 3226		GX	10.390836	19.898528	12.95	3.13	
NGC 3227		GX	10.391828	19.865056	11.72	3.98	
NGC 3228		OC	10.356178	-51.722583	6.0	6.6	
NGC 3229		OTHER	10.3901	0.064806	99.0	0.0	
NGC 323		GX	0.944903	-52.975917	12.53	1.82	
NGC 3230		GX	10.395544	12.567778	14.79	2.02	
NGC 3231		OC	10.449403	66.815167	99.0	0.0	
NGC 3232		GX	10.406731	28.026139	15.5	0.85	
NGC 3233		GX	10.365961	-22.26775	13.54	1.52	
NGC 3234		GX	10.416475	28.023917	14.46	1.34	
NGC 3236		GX	10.446808	61.272917	15.12	0.95	
NGC 3237		GX	10.428694	39.646389	14.08	1.07	
NGC 3238		GX	10.445275	57.226333	13.96	1.11	
NGC 3239		GX	10.418025	17.163583	11.4	3.61	
NGC 324		GX	0.954106	-40.959111	12.81	1.48	
NGC 3240		GX	10.408508	-21.791028	13.91	1.19	
NGC 3241		GX	10.404711	-32.482611	12.99	2.29	
NGC 3242	Jupiter's Ghost Nebula	PN	10.4128	-18.642222	7.7	0.42	
NGC 3243		GX	10.439297	-2.622194	14.47	1.73	
NGC 3244		GX	10.424678	-39.827556	12.32	2.18	
NGC 3245		GX	10.455108	28.507444	10.75	3.61	
NGC 3245A		GX	10.450314	28.639333	15.23	2.32	
NGC 3246		GX	10.444947	3.861917	13.73	1.94	
NGC 3247		EN	10.403889	-57.763333	7.6	5.0	
NGC 3248		GX	10.462622	22.847194	13.81	1.7	
NGC 3249		GX	10.439503	-34.963694	13.86	1.57	
NGC 325		GX	0.963297	-5.112083	14.92	1.19	
NGC 3250		GX	10.4423	-39.943944	11.02	2.96	
NGC 3250A		GX	10.464925	-40.081333	15.66	1.62	
NGC 3250B		GX	10.462436	-40.435028	12.63	2.77	
NGC 3250C		GX	10.461797	-40.002583	14.23	1.91	
NGC 3250D		GX	10.466094	-39.814778	14.37	1.89	
NGC 3250E		GX	10.483528	-40.082806	13.26	1.82	
NGC 3251		GX	10.488011	26.09925	14.07	2.06	
NGC 3252		GX	10.573094	73.764972	14.1	1.87	
NGC 3253		GX	10.474256	12.704056	13.59	1.15	
NGC 3254		GX	10.488872	29.491833	11.66	2.34	
NGC 3255		OC	10.442044	-60.675194	11.0	4.8	
NGC 3256		GX	10.464242	-43.90375	11.58	3.29	
NGC 3256A		GX	10.430844	-43.748083	15.06	1.33	
NGC 3256B		GX	10.483631	-44.402889	13.79	2.1	
NGC 3256C		GX	10.484928	-43.849278	13.32	1.91	
NGC 3257		GX	10.479756	-35.658083	13.12	1.08	
NGC 3258		GX	10.481547	-35.605528	11.41	2.94	
NGC 3258A		GX	10.471989	-35.454472	13.24	1.22	
NGC 3258B		GX	10.507028	-35.563556	15.54	1.06	
NGC 3258C		GX	10.523375	-35.220472	14.6	1.11	
NGC 3258D		GX	10.532147	-35.409806	13.98	1.98	
NGC 3258E		GX	10.540253	-34.998361	15.41	1.57	
NGC 3259		GX	10.543014	65.041083	12.72	1.72	
NGC 326		GX	0.972972	26.865278	99.0	1.0	
NGC 326 NED01		GX	0.972956	26.86625	13.26	1.0	
NGC 326 NED02		GX	0.973014	26.864556	99.0	0.17	
NGC 3260		GX	10.485108	-35.595194	12.67	1.41	
NGC 3261		GX	10.483739	-44.656833	11.41	3.65	
NGC 3262		GX	10.485064	-44.159667	13.13	1.17	
NGC 3263		GX	10.487044	-44.122917	12.15	7.83	
NGC 3264		GX	10.538806	56.085278	13.16	2.09	
NGC 3265		GX	10.518547	28.796667	13.54	0.97	
NGC 3266		GX	10.554892	64.749389	13.46	1.39	
NGC 3267		GX	10.496831	-35.322389	13.35	1.55	
NGC 3268		GX	10.500183	-35.325472	11.41	3.5	
NGC 3269		GX	10.499183	-35.224389	12.26	2.51	
NGC 327		GX	0.965378	-5.130417	13.42	1.39	
NGC 3270		GX	10.524994	24.869444	13.05	2.34	
NGC 3271		GX	10.507358	-35.3595	11.73	3.01	
NGC 3272		STAR	10.530042	28.468778	99.0	0.0	
NGC 3273		GX	10.508103	-35.610639	12.48	1.91	
NGC 3274		GX	10.538131	27.668778	12.84	1.63	
NGC 3275		GX	10.514389	-36.736972	11.65	2.81	
NGC 3276		GX	10.519222	-39.944667	14.46	1.26	
NGC 3277		GX	10.548736	28.511722	11.65	2.11	
NGC 3278		GX	10.526497	-39.954639	13.09	1.35	
NGC 3279		GX	10.578556	11.197333	13.87	2.48	
NGC 328		GX	0.949325	-52.923917	14.07	2.46	
NGC 3280		GX	10.545908	-12.63625	99.0	1.4	
NGC 3280A		GX	10.546217	-12.634583	15.95	0.65	
NGC 3280B		GX	10.545503	-12.637306	15.13	1.02	
NGC 3280C		GX	10.545986	-12.637222	16.02	1.23	
NGC 3281		GX	10.531136	-34.853694	11.95	3.1	
NGC 3281A		GX	10.532856	-35.1985	14.44	1.25	
NGC 3281B		GX	10.531156	-35.204861	15.14	1.31	
NGC 3281C		GX	10.549875	-34.886222	14.38	1.13	
NGC 3281D		GX	10.57195	-34.403417	14.66	2.06	
NGC 3282		GX	10.539422	-22.302278	14.06	1.77	
NGC 3283		GX	10.519889	-46.251278	11.74	2.86	
NGC 3284		GX	10.6059	58.620167	13.67	1.36	
NGC 3285		GX	10.559956	-27.454444	11.98	2.97	
NGC 3285A		GX	10.546883	-27.522444	13.84	1.21	
NGC 3285B		GX	10.576911	-27.652944	13.2	1.64	
NGC 3287		GX	10.579806	21.648278	12.83	1.78	
NGC 3288		GX	10.607131	58.556194	13.99	0.89	
NGC 3289		GX	10.568731	-35.323389	12.55	1.99	
NGC 329		GX	0.967111	-5.071222	13.27	1.59	
NGC 3290		GX	10.588175	-17.276778	14.44	1.05	
NGC 3291		STAR	10.6018	37.274417	99.0	0.0	
NGC 3292		GX	10.592897	-6.179611	14.79	1.11	
NGC 3293		OC	10.596881	-58.224472	4.7	5.1	
NGC 3294		GX	10.604514	37.324694	11.68	3.08	
NGC 3296		GX	10.545944	-12.717417	14.89	1.11	
NGC 3297		GX	10.553278	-12.671833	15.56	0.87	
NGC 3298		GX	10.620078	50.120583	14.8	1.1	
NGC 3299		GX	10.606611	12.707389	14.0	1.79	
NGC 33		STAR	0.1824	3.675917	99.0	0.0	
NGC 330		OC	0.938236	-72.462944	9.55	2.8	
NGC 3300		GX	10.610678	14.171111	13.32	1.53	
NGC 3301		GX	10.615567	21.882139	11.41	3.63	
NGC 3302		GX	10.596508	-32.3585	13.59	1.93	
NGC 3303		GX	10.616611	18.136667	99.0	1.2	
